,CMIP6 Compound Name,Physical Parameter,Title,Description,Dimensions,Spatial Shape,Coordinates,Temporal Shape,Cell Methods,Cell Measures,KET comments,correct dimensions,correct cell methods,variableRootDD (if different from Phys. Param.),Region input,recommended reporting grid,Region,Review Requested,dimensions for determining branding suffix,cell_methods for determining branding suffix,variableRootDD,branded variable name
1721,Emon.vegHeight,vegHeight,Height of the Vegetation Canopy,Vegetation height averaged over all vegetation types and over the vegetated fraction of a grid cell.,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where vegetation (comment: mask=vegFrac),area: areacella,correction to cell methods,,area: time: mean where vegetation,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where vegetation,vegHeight,vegHeight_tavg-u-hxy-veg
1722,Emon.vegHeightGrass,vegHeightGrass,Height of Grass,Vegetation height averaged over the grass fraction of a grid cell.,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella,"correction to cell methods. Area type is indicated by branding suffix, not root name",,area: time: mean where natiural_grasses ,vegHeight,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where natiural_grasses ,vegHeight,vegHeight_tavg-u-hxy-u
1723,Emon.vegHeightShrub,vegHeightShrub,Height of Shrubs,Vegetation height averaged over the shrub fraction of a grid cell.,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella,"correction to cell methods. Area type is indicated by branding suffix, not root name",,area: time: mean where shrubs,vegHeight,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where shrubs,vegHeight,vegHeight_tavg-u-hxy-shb
1724,Emon.vegHeightTree,vegHeightTree,Height of Trees,Vegetation height averaged over the tree fraction of a grid cell.,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where trees (comment: mask=treeFrac),area: areacella,"correction to cell methods. Area type is indicated by branding suffix, not root name",,area: time: mean where trees,vegHeight,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where trees,vegHeight,vegHeight_tavg-u-hxy-tree
1725,Omon.vmo,vmo,Ocean Mass Y Transport,Y-ward mass transport from residual mean (resolved plus parameterized) advective transport.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,vmo,vmo_tavg-l-hxy-sea
1726,Omon.vo,vo,Sea Water Y Velocity,Prognostic y-ward velocity component resolved by the model.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,vo,vo_tavg-l-hxy-sea
1727,Odec.volcello,volcello,Ocean Grid-Cell Volume,"For oceans with more than 1 mesh (e.g. staggered grids), report areas that apply to surface vertical fluxes of energy. If this field is time-dependent then save it instead as one of your Omon and Odec fields","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: sum where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: sum where sea time: mean,volcello,volcello_tavg-l-hxy-sea
1728,Ofx.volcello,volcello,Ocean Grid-Cell Volume,"For oceans with more than 1 mesh (e.g. staggered grids), report areas that apply to surface vertical fluxes of energy. If this field is time-dependent then save it instead as one of your Omon and Odec fields","longitude, latitude, olevel",Global ocean field on model levels,,,area: sum,area: areacello volume: volcello,correction to cell methods,,area: sum where sea,,,ocean,glb,,"longitude, latitude, olevel",area: sum where sea,volcello,volcello_ti-l-hxy-sea
1729,Omon.volcello,volcello,Ocean Grid-Cell Volume,"For oceans with more than 1 mesh (e.g. staggered grids), report areas that apply to surface vertical fluxes of energy. If this field is time-dependent then save it instead as one of your Omon and Odec fields","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: sum where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: sum where sea time: mean,volcello,volcello_tavg-l-hxy-sea
1730,Oyr.volcello,volcello,Ocean Grid-Cell Volume,"For oceans with more than 1 mesh (e.g. staggered grids), report areas that apply to surface vertical fluxes of energy. If this field is time-dependent then save it instead as one of your Omon and Odec fields","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: sum where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: sum where sea time: mean,volcello,volcello_tavg-l-hxy-sea
1731,Odec.volo,volo,Sea Water Volume,Total volume of liquid sea water.,time,Global mean or constant,,time-intv,area: sum where sea time: mean,,correction to cell methods,,depth: area: sum where sea time: mean,,,none,glb,,time,depth: area: sum where sea time: mean,volo,volo_tavg-u-hm-sea
1732,Omon.volo,volo,Sea Water Volume,Total volume of liquid sea water.,time,Global mean or constant,,time-intv,area: sum where sea time: mean,,correction to cell methods,,depth: area: sum where sea time: mean,,,none,glb,,time,depth: area: sum where sea time: mean,volo,volo_tavg-u-hm-sea
1733,Oday.vos,vos,Daily Surface Sea Water Y Velocity,Daily surface prognostic y-ward velocity component resolved by the model.,"longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"no need for depth coordinate because it ""surface"" is in the standard name.","longitude, latitude, time",,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,vos,vos_tavg-u-hxy-sea
1734,Omon.vsf,vsf,Virtual Salt Flux into Sea Water,It is set to zero in models which receive a real water flux.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,vsf,vsf_tavg-u-hxy-sea
1735,Omon.vsfcorr,vsfcorr,Virtual Salt Flux Correction,It is set to zero in models which receive a real water flux.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,vsfcorr,vsfcorr_tavg-u-hxy-sea
1736,Omon.vsfevap,vsfevap,Virtual Salt Flux into Sea Water Due to Evaporation,zero for models using real water fluxes.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,vsfevap,vsfevap_tavg-u-hxy-sea
1737,Omon.vsfpr,vsfpr,Virtual Salt Flux into Sea Water Due to Rainfall,zero for models using real water fluxes.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,vsfpr,vsfpr_tavg-u-hxy-sea
1738,Omon.vsfriver,vsfriver,Virtual Salt Flux into Sea Water from Rivers,zero for models using real water fluxes.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,vsfriver,vsfriver_tavg-u-hxy-sea
1739,Omon.vsfsit,vsfsit,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics,This variable measures the virtual salt flux into sea water due to the melting of sea ice. It is set to zero in models which receive a real water flux.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,vsfsit,vsfsit_tavg-u-hxy-sea
1740,AERmonZ.vt100,vt100,Northward Eddy Temperature Flux,Zonally averaged eddy temperature flux at 100hPa as monthly means derived from daily (or higher frequency) fields.,"latitude, time, p100",Zonal mean (on surface),p100,time-intv,longitude: time: mean where air,,"vertical coordinate value is in branding suffix, not root name.",,,vt,,atmosphere,glb,,"latitude, time, p100",longitude: time: mean where air,vt,vt_tavg-100hPa-hy-air
1741,EdayZ.vtem,vtem,Transformed Eulerian Mean Northward Wind,zonal mean; hence YZT,"latitude, plev39, time",Atmospheric zonal mean (on 39 pressure levels),,time-intv,longitude: time: mean where air,,,,,,,atmosphere,glb,,"latitude, plev39, time",longitude: time: mean where air,vtem,vtem_tavg-p39-hy-air
1742,EmonZ.vtem,vtem,Transformed Eulerian Mean Northward Wind,"Transformed Eulerian Mean Diagnostics v*, meridional component of the residual meridional circulation (v*, w*) derived from 6 hr or higher frequency data fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available).","latitude, plev39, time",Atmospheric zonal mean (on 39 pressure levels),,time-intv,longitude: time: mean where air,,,,,,,atmosphere,glb,,"latitude, plev39, time",longitude: time: mean where air,vtem,vtem_tavg-p39-hy-air
1743,Eday.vtendnogw,vtendnogw,Tendency of northward wind due to non-orographic gravity waves,Tendency of northward wind induced by the parameterized non-orographic gravity wave drag,"longitude, latitude, plev19, time",Global field (19 pressure levels),,time-intv,area: time: mean where air,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, plev19, time",area: time: mean where air,vtendnogw,vtendnogw_tavg-p19-hxy-air
1744,Emon.vtendnogw,vtendnogw,Northward Acceleration Due to Non-Orographic Gravity Wave Drag,Tendency of northward wind induced by the parameterized non-orographic gravity wave drag,"longitude, latitude, plev19, time",Global field (19 pressure levels),,time-intv,time: mean,area: areacella,correction to cell methods,,area: time: mean where air,,,atmosphere,glb,,"longitude, latitude, plev19, time",area: time: mean where air,vtendnogw,vtendnogw_tavg-p19-hxy-air
1745,Eday.vtendogw,vtendogw,Tendency of northward wind due to orographic gravity waves,Tendency of northward wind induced by the parameterized orographic gravity wave drag,"longitude, latitude, plev19, time",Global field (19 pressure levels),,time-intv,area: time: mean where air,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, plev19, time",area: time: mean where air,vtendogw,vtendogw_tavg-p19-hxy-air
1746,Emon.vtendogw,vtendogw,Northward Acceleration Due to Orographic Gravity Wave Drag,Tendency of northward wind induced by the parameterized orographic gravity wave drag,"longitude, latitude, plev19, time",Global field (19 pressure levels),,time-intv,time: mean,area: areacella,correction to cell methods,,area: time: mean where air,,,atmosphere,glb,,"longitude, latitude, plev19, time",area: time: mean where air,vtendogw,vtendogw_tavg-p19-hxy-air
1747,AERmon.wa,wa,Upward Air Velocity,"A velocity is a vector quantity. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). Upward air velocity is the vertical component of the 3D air velocity vector. The standard name downward_air_velocity may be used for a vector component with the opposite sign convention.","longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,"why is this variable requested differently from all other vertical ""velocities""?  The variable carried in models is ""wap"", and that variable should be requested instead.",,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,wa,wa_tavg-l-hxy-u
1748,Amon.wap,wap,Omega (=dp/dt),"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)","longitude, latitude, plev19, time",Global field (19 pressure levels),,time-intv,time: mean,area: areacella,correction to cell methods,,area: time: mean where air,,,atmosphere,glb,,"longitude, latitude, plev19, time",area: time: mean where air,wap,wap_tavg-p19-hxy-air
1749,CFday.wap,wap,Omega (=dp/dt),"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)","longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,wap,wap_tavg-l-hxy-u
1750,CFsubhr.wap,wap,Omega (=dp/dt),"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)","alevel, site, time1",Atmospheric profiles at specified sites,,time-point,area: point time: point,,,,,,,none,glb,,"alevel, site, time1",area: point time: point,wap,wap_tpt-l-hxys-u
1751,day.wap,wap,Omega (=dp/dt),"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)","longitude, latitude, plev19, time",Global field (19 pressure levels),,time-intv,time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, plev19, time",time: mean,wap,wap_tavg-p19-hxy-u
1752,Eday.wap,wap,Omega (=dp/dt),"wap is a lower priority request (level 2, not level 1)","longitude, latitude, plev19, time",Global field (19 pressure levels),,time-intv,time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, plev19, time",time: mean,wap,wap_tavg-p19-hxy-u
1753,CFday.wap500,wap500,Pressure Tendency,"at 500 hPa level; commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)","longitude, latitude, time, p500",Global field (single level),p500,time-intv,area: time: mean where air,area: areacella,"vertical coordinate value is in branding suffix, not root name.",,,wap,,atmosphere,glb,,"longitude, latitude, time, p500",area: time: mean where air,wap,wap_tavg-500hPa-hxy-air
1754,E3hrPt.wap6,wap6,Omega (=dp/dt),Omega (=dp/dt) on 6 pressure levels in the lower troposphere,"longitude, latitude, plev6, time1",Global field (6 pressure levels),,time-point,area: mean where air time: point,area: areacella,"vertical coordinate value is in branding suffix, not root name.",,,wap,,atmosphere,glb,,"longitude, latitude, plev6, time1",area: mean where air time: point,wap,wap_tpt-u-hxy-air
1755,day.wbgt2m,wbgt2m,mean 2m daily wet bulb globe temperature,"mean 2m daily wet bulb globe temperature (WBGT). 
Wet Bulb Globe Temperature (WBGT) is a particularly effective indicator of heat stress for active populations such as outdoor workers and athletes.
The calculation should be done with: 
WBGT = 0.567 * T_C + 0.393 * e/100 + 3.94, where T_C is temperature in degrees C, and e = huss * p * M_air / M_H2O, where ""huss=specific humidity in kg/kg"", M_H2O = 18.01528/1000 # kg/mol, M_air = 28.964/1000 # kg/mol for dry air and ""P = surface pressure in Pa""","longitude, latitude, time, height2m",Global field (single level),height2m,time-intv,area: time: mean,area: areacella,branded variable named following naming convention.,,,tawb,,atmosphere,glb,,"longitude, latitude, time, height2m",area: time: mean,tawb,tawb_tavg-h2m-hxy-u
1756,day.wbgt2mmax,wbgt2mmax,maximum 2m daily wet bulb globe temperature,"max 2m daily wet bulb globe temperature (WGBT): 
Wet Bulb Globe Temperature (WBGT) is a particularly effective indicator of heat stress for active populations such as outdoor workers and athletes.
The calculation should be done with: 
WBGT = 0.567 * T_C + 0.393 * e/100 + 3.94, where T_C is temperature in degrees C, and e = huss * p * M_air / M_H2O, where ""huss=specific humidity in kg/kg"", M_H2O = 18.01528/1000 # kg/mol, M_air = 28.964/1000 # kg/mol for dry air and ""P = surface pressure in Pa""","longitude, latitude, time, height2m",Global field (single level),height2m,time-intv,area: time: mean,area: areacella,branded variable named following naming convention.  Correction to cell methods.,,area:mean time: maximum,tawbmax,,atmosphere,glb,,"longitude, latitude, time, height2m",area:mean time: maximum,tawbmax,tawbmax_tstat-h2m-hxy-u
1757,3hr.wdir,wdir,Total Wave Direction,"Mean direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves. This variable is usually expressed in degrees relative to true north.","longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"The ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.",,,,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,wdir,wdir_tavg-z0m-hxy-sea
1758,3hrPt.wdir,wdir,Total Wave Direction,"Mean direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves. This variable is usually expressed in degrees relative to true north.","longitude, latitude, time1, depth0m",Global field (single level),depth0m,time-point,area: mean where sea time: mean,area: areacello,"cell_methods (time: mean) and description (""mean"") inconsistent with time1. The ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.","longitude, latitude, time",,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wdir,wdir_tavg-u-hxy-sea
1759,6hr.wdir,wdir,Total Wave Direction,"Mean direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves. This variable is usually expressed in degrees relative to true north.","longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"The ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.","longitude, latitude, time",,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wdir,wdir_tavg-u-hxy-sea
1760,Omon.wdir,wdir,Total Wave Direction,"Mean direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves. This variable is usually expressed in degrees relative to true north.","longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"The ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.","longitude, latitude, time",,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wdir,wdir_tavg-u-hxy-sea
1761,6hr.wdirswell,wdirswell,Swell Wave Direction,"Mean direction of wave propagation (direction from which the wave is coming) derived from the swell component of the wave energy spectrum (i.e., waves that have propagated away from their generation area). This variable is usually expressed in degrees relative to true north.","longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"The ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.","longitude, latitude, time",,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wdirswell,wdirswell_tavg-u-hxy-sea
1762,Omon.wdirswell,wdirswell,Swell Wave Direction,"Mean direction of wave propagation (direction from which the wave is coming) derived from the swell component of the wave energy spectrum (i.e., waves that have propagated away from their generation area). This variable is usually expressed in degrees relative to true north.","longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"The ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.","longitude, latitude, time",,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wdirswell,wdirswell_tavg-u-hxy-sea
1763,6hr.wdirwindsea,wdirwindsea,Sea Wave Direction,"Mean direction of wave propagation (direction from which the wave is coming) derived from the wind-sea component of the wave energy spectrum (i.e., local wind waves). This variable is usually expressed in degrees relative to true north.","longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"The ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.","longitude, latitude, time",,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wdirwindsea,wdirwindsea_tavg-u-hxy-sea
1764,Omon.wdirwindsea,wdirwindsea,Sea Wave Direction,"Mean direction of wave propagation (direction from which the wave is coming) derived from the wind-sea component of the wave energy spectrum (i.e., local wind waves). This variable is usually expressed in degrees relative to true north.","longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"The ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.","longitude, latitude, time",,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wdirwindsea,wdirwindsea_tavg-u-hxy-sea
1765,AERmon.wetbc,wetbc,Wet Deposition Rate of Black Carbon Aerosol Mass,Surface deposition rate of black carbon (dry mass) due to wet processes,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetbc,wetbc_tavg-u-hxy-u
1766,AERmon.wetdust,wetdust,Wet Deposition Rate of Dust,Surface deposition rate of dust (dry mass) due to wet processes,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetdust,wetdust_tavg-u-hxy-u
1767,AERmon.wethno3,wethno3,wet deposition of HNO3,This is the loss rate of nitric acid (HNO3) from the atmosphere due to wet deposition,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,wethno3,wethno3_tavg-l-hxy-u
1768,Emon.wetlandCH4,wetlandCH4,Grid Averaged Methane Emissions from Wetlands,"Net upward flux of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season). ","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,wetlandCH4,wetlandCH4_tavg-u-hxy-lnd
1769,Emon.wetlandCH4cons,wetlandCH4cons,Grid Averaged Methane Consumption (Methanotrophy) from Wetlands,"Biological consumption (methanotrophy) of methane (NH4) by wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season). ","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,wetlandCH4cons,wetlandCH4cons_tavg-u-hxy-lnd
1770,Emon.wetlandCH4prod,wetlandCH4prod,Grid Averaged Methane Production (Methanogenesis) from Wetlands,"Biological emissions (methanogenesis) of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season). ","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,wetlandCH4prod,wetlandCH4prod_tavg-u-hxy-lnd
1771,Emon.wetlandFrac,wetlandFrac,Wetland Percentage Cover,"Percentage of grid cell covered by wetland. Report only one year if  fixed percentage is used, or time series if values are determined dynamically.","longitude, latitude, time, typewetla",Global field (single level),typewetla,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typewetla","area: mean time:mean"" (or ""area time: mean"")",wetlandFrac,wetlandFrac_tavg-u-hxy-u
1772,AERday.wetnh3,wetnh3,Daily Wet Deposition Rate of NH3,Daily Wet Deposition Rate of NH3 at surface. Vertically integrated throughout the column to the surface.,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetnh3,wetnh3_tavg-u-hxy-u
1773,AERmon.wetnh3,wetnh3,Wet Deposition Rate of NH3,Surface deposition rate of ammonia (NH3) due to wet processes,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetnh3,wetnh3_tavg-u-hxy-u
1774,AERday.wetnh4,wetnh4,Daily Wet Deposition Rate of NH4,Daily Wet Deposition Rate of NH4 at surface. Vertically integrated throughout the column to the surface.,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetnh4,wetnh4_tavg-u-hxy-u
1775,AERmon.wetnh4,wetnh4,Wet Deposition Rate of NH4,Surface deposition rate of ammonium (NH4) due to wet processes,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetnh4,wetnh4_tavg-u-hxy-u
1776,AERmon.wetno3,wetno3,Wet deposition of nitrate aerosol,This is the loss rate of nitrate aerosol from the atmosphere due to wet deposition,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,wetno3,wetno3_tavg-l-hxy-u
1777,AERday.wetnoy,wetnoy,Daily Wet Deposition Rate of NOy,Daily Wet Deposition Rate of NOy at surface. Vertically integrated throughout the column to the surface.,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetnoy,wetnoy_tavg-u-hxy-u
1778,AERmon.wetnoy,wetnoy,Wet Deposition Rate of NOy Including Aerosol Nitrate,"NOy is the sum of all simulated oxidized nitrogen species, out of NO, NO2, HNO3, HNO4, NO3aerosol, NO3(radical), N2O5, PAN, other organic nitrates.","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetnoy,wetnoy_tavg-u-hxy-u
1779,AERmon.wetoa,wetoa,Wet Deposition Rate of Dry Aerosol Total Organic Matter,Deposition rate of organic matter in aerosols (measured by the dry mass) due to wet processes,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetoa,wetoa_tavg-u-hxy-u
1780,AERmon.wetso2,wetso2,Wet Deposition Rate of SO2,Deposition rate of sulfur dioxide due to wet processes,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetso2,wetso2_tavg-u-hxy-u
1781,AERmon.wetso4,wetso4,Wet Deposition Rate of SO4,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetso4,wetso4_tavg-u-hxy-u
1782,AERmon.wetss,wetss,Wet Deposition Rate of Sea-Salt Aerosol,Deposition rate of sea salt aerosols (measured by the dry mass) due to wet processes,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,wetss,wetss_tavg-u-hxy-u
1783,Omon.wfcorr,wfcorr,Water Flux Correction,Computed as the water flux into the ocean due to flux correction divided by the area of the ocean portion of the grid cell.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wfcorr,wfcorr_tavg-u-hxy-sea
1784,3hr.wfo,wfo,Water Flux into Sea Water,Computed as the water flux into the ocean divided by the area of the ocean portion of the grid cell. This is the sum *wfonocorr* and *wfcorr*.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wfo,wfo_tavg-u-hxy-sea
1785,Omon.wfo,wfo,Water Flux into Sea Water,Computed as the water flux into the ocean divided by the area of the ocean portion of the grid cell. This is the sum *wfonocorr* and *wfcorr*.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,wfo,wfo_tavg-u-hxy-sea
1786,Omon.wmo,wmo,Upward Ocean Mass Transport,Upward mass transport from residual mean (resolved plus parameterized) advective transport.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: sum where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: sum where sea time: mean,wmo,wmo_tavg-l-hxy-sea
1787,Oday.wo,wo,Sea Water Vertical Velocity,Prognostic z-ward velocity component resolved by the model.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,wo,wo_tavg-l-hxy-sea
1788,Omon.wo,wo,Sea Water Vertical Velocity,Prognostic z-ward velocity component resolved by the model.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,wo,wo_tavg-l-hxy-sea
